list_price,price_reduced_amount,description.year_built,description.baths_3qtr,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,description.type,central_air,dishwasher,fireplace,forced_air,hardwood_floors,washer_dryer,basement,single_story,garage_1_or_more,garage_2_or_more,dining_room,two_or_more_stories,shopping,family_room,central_heat,laundry_room,recreation_facilities,view,community_outdoor_space,city_view,community_security_features,city_mean_price,state_mean_price
279900.0,0.0,1986,0.0,275000.0,2.0,1.0,9148.0,1300.0,3.0,Unknown,1.0,1.0,3.0,single_family,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,235423.44827586206,235423.44827586206
90000.0,0.0,1968,0.0,74000.0,1.8874299001504582,0.0,19800.0,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,316604.6783625731,316604.6783625731
398000.0,7000.0,2008,0.0,390000.0,2.0,1.0,1307.0,1652.0,3.0,townhouse,1.0,2.0,3.0,townhomes,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,598383.7195121951,598383.7195121951
299000.0,0.0,1968,0.0,270000.0,1.8874299001504582,0.0,64992.0,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,land,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,513855.7971014493,534219.5266272189
350000.0,0.0,2006,0.0,345000.0,2.0,0.0,9583.0,2233.0,2.0,Unknown,0.0,1.0,3.0,single_family,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,202108.79365079364,210282.35971223022
25000.0,0.0,1917,0.0,25000.0,1.0,0.0,7144.0,840.0,1.0,Unknown,0.0,1.0,2.0,single_family,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,216802.33766233767,294512.3353293413
89900.0,0.0,1949,0.0,89900.0,1.0,0.0,4879.0,624.0,1.0,Unknown,0.0,1.0,2.0,single_family,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,167914.0350877193,167914.0350877193
180000.0,20000.0,1945,0.0,170000.0,2.0,1.0,313632.0,3092.0,3.0,Unknown,0.0,1.0,3.0,single_family,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,192003.05142857143,192003.05142857143
449900.0,0.0,1991,0.0,425000.0,2.0,2.0,9191.0,2700.0,4.0,Unknown,0.0,2.0,3.0,single_family,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,255024.7093023256,255024.7093023256
240000.0,0.0,2003,0.0,240000.0,2.0,1.0,2178.0,1364.0,3.0,townhouse,0.0,2.0,3.0,townhomes,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,513855.7971014493,534219.5266272189
148500.0,0.0,1959,0.0,145000.0,1.0,0.0,7841.0,957.0,1.0,Unknown,1.0,1.0,3.0,single_family,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,145000.0,254681.5864197531
299000.0,0.0,1972,0.0,295000.0,1.0,1.0,1307.0,1040.0,2.0,condo,0.0,2.0,2.0,condos,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,522150.838150289,522150.838150289
159900.0,0.0,1985,0.0,154000.0,2.0,0.0,2700.0,1064.0,2.0,townhouse,0.0,2.0,3.0,townhomes,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,313818.4915254237,313818.4915254237
829890.0,0.0,2019,0.0,825000.0,4.0,0.0,5751.0,3085.0,4.0,Unknown,3.0,2.0,5.0,single_family,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,551940.5512820513,533610.1529411764
329900.0,0.0,1994,0.0,325000.0,3.0,0.0,8843.0,2884.0,3.0,Unknown,2.0,2.0,4.0,single_family,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,255024.7093023256,255024.7093023256
115000.0,10000.0,1955,0.0,115000.0,1.0,0.0,6970.0,754.0,1.0,Unknown,0.0,1.0,2.0,single_family,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,294581.858974359,290079.31677018636
218829.0,0.0,1959,0.0,218829.0,1.0,1.0,15246.0,1394.0,2.0,Unknown,2.0,1.0,3.0,single_family,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,256052.60625,254681.5864197531
599900.0,0.0,1950,0.0,599000.0,1.0,1.0,10001.0,2450.0,2.0,Unknown,2.0,2.0,4.0,single_family,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,625508.8529411765,616922.8857142857
63500.0,0.0,1950,0.0,63500.0,1.0,0.0,6970.0,840.0,1.0,Unknown,0.0,1.0,2.0,single_family,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,294581.858974359,290079.31677018636
84900.0,5000.0,1972,0.0,69000.0,1.0,1.0,4617.0,1442.0,2.0,Unknown,0.0,2.0,4.0,single_family,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167914.0350877193,167914.0350877193
270000.0,0.0,1974,0.0,265000.0,1.0,0.0,22000.0,1092.0,1.0,Unknown,0.0,1.0,3.0,single_family,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,313818.4915254237,313818.4915254237
284900.0,0.0,1839,0.0,305000.0,1.0,0.0,4639.0,1121.0,1.0,Unknown,0.0,2.0,4.0,single_family,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,625508.8529411765,616922.8857142857
150000.0,0.0,1985,0.0,158000.0,1.0,0.0,251094.94678872835,737.0,1.0,condo,0.0,1.0,2.0,condos,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,438840.127388535,438172.8323699422
874900.0,25000.0,2004,0.0,874900.0,5.0,1.0,10454.0,4364.0,6.0,Unknown,2.0,2.0,5.0,single_family,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,598383.7195121951,598383.7195121951
277000.0,12000.0,1917,1.0,239000.0,1.8874299001504582,0.0,4792.0,1040.0,1.0,Unknown,1.0,1.0,2.0,single_family,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,359241.49019607843,370294.15950920247
549900.0,20100.0,1997,0.0,512500.0,2.0,0.0,58806.0,2166.0,2.0,Unknown,3.0,1.0,3.0,single_family,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,460463.07738095237,460363.5117647059
75000.0,0.0,1962,0.0,60000.0,2.0,0.0,13068.0,1722.0,2.0,Unknown,0.0,1.0,3.0,single_family,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,192003.05142857143,192003.05142857143
